Fri May 22 10:32:09	Paired = 0	-88
Fri May 22 10:32:19	GX15	-62
Fri May 22 10:32:19	S5610	-64
Fri May 22 10:32:19	Paired = 0	-86
Fri May 22 10:32:30	GX15	-58
Fri May 22 10:32:30	S5610	-82
Fri May 22 10:32:30	Paired = 0	-86
Fri May 22 10:32:40	GX15	-62
Fri May 22 10:32:40	S5610	-72
Fri May 22 10:32:40	Paired = 0	-86
Fri May 22 10:32:50	Paired = 0	-88
Fri May 22 10:33:01	GX15	-72
Fri May 22 10:33:11	GX15	-70
Fri May 22 10:33:11	S5610	-64
Fri May 22 10:33:21	GX15	-58
Fri May 22 10:33:21	S5610	-62
Fri May 22 10:33:21	TravelMate-B115-M-0	-90
Fri May 22 10:33:32	GX15	-56
Fri May 22 10:33:32	S5610	-70
Fri May 22 10:33:42	GX15	-58
Fri May 22 10:33:42	S5610	-66
Fri May 22 10:33:42	Paired = 0	-90
Fri May 22 10:33:52	GX15	-58
Fri May 22 10:33:52	S5610	-70
Fri May 22 10:34:03	GX15	-56
Fri May 22 10:34:03	S5610	-64
Fri May 22 10:34:03	Paired = 0	-88
Fri May 22 10:34:13	GX15	-58
Fri May 22 10:34:13	Paired = 0	-94
Fri May 22 10:34:23	GX15	-56
Fri May 22 10:34:23	S5610	-68
Fri May 22 10:34:23	Paired = 0	-88
Fri May 22 10:34:33	GX15	-56
Fri May 22 10:34:33	S5610	-78
Fri May 22 10:34:33	Paired = 0	-90
Fri May 22 10:34:44	GX15	-56
Fri May 22 10:34:54	GX15	-56
Fri May 22 10:34:54	Paired = 0	-90
Fri May 22 10:35:04	GX15	-56
Fri May 22 10:35:04	S5610	-66
Fri May 22 10:35:04	Paired = 0	-86
Fri May 22 10:35:15	GX15	-56
Fri May 22 10:35:15	S5610	-70
Fri May 22 10:35:25	GX15	-58
Fri May 22 10:35:25	Paired = 0	-88
Fri May 22 10:35:35	GX15	-56
Fri May 22 10:35:35	S5610	-74
Fri May 22 10:35:46	GX15	-64
Fri May 22 10:35:46	S5610	-66
Fri May 22 10:35:56	S5610	-64
Fri May 22 10:36:06	GX15	-56
Fri May 22 10:36:06	S5610	-62
Fri May 22 10:36:17	GX15	-62
Fri May 22 10:36:17	S5610	-70
Fri May 22 10:36:27	GX15	-68
Fri May 22 10:36:27	S5610	-70
Fri May 22 10:36:37	GX15	-60
Fri May 22 10:36:37	S5610	-66
Fri May 22 10:36:48	GX15	-56
Fri May 22 10:36:48	S5610	-70
Fri May 22 10:36:58	GX15	-62
Fri May 22 10:36:58	S5610	-74
Fri May 22 10:36:58	Xperia Mini	-74
Fri May 22 10:37:08	GX15	-64
Fri May 22 10:37:19	GX15	-80
Fri May 22 10:37:19	S5610	-62
Fri May 22 10:37:29	GX15	-68
Fri May 22 10:37:29	S5610	-74
Fri May 22 10:37:39	GX15	-78
Fri May 22 10:37:39	S5610	-68
Fri May 22 10:37:39	Paired = 0	-88
Fri May 22 10:37:50	GX15	-58
Fri May 22 10:38:00	GX15	-60
Fri May 22 10:38:00	S5610	-66
Fri May 22 10:38:10	GX15	-68
Fri May 22 10:38:10	S5610	-66
Fri May 22 10:38:10	Paired = 0	-88
Fri May 22 10:38:21	GX15	-64
Fri May 22 10:38:21	S5610	-72
Fri May 22 10:38:31	GX15	-68
Fri May 22 10:38:31	S5610	-66
Fri May 22 10:38:41	S5610	-62
Fri May 22 10:38:52	GX15	-70
Fri May 22 10:38:52	S5610	-70
Fri May 22 10:39:02	GX15	-66
Fri May 22 10:39:12	GX15	-70
Fri May 22 10:39:12	S5610	-72
Fri May 22 10:39:12	TravelMate-B115-M-0	-84
Fri May 22 10:39:23	GX15	-72
Fri May 22 10:39:23	S5610	-70
Fri May 22 10:39:33	GX15	-72
