Timestamp,Device,button,overview,screenshot
02:21:28_03-09-2015,400025000c47343432313031,button2,http://pelars.netne.net/images/400025000c47343432313031.button2.overview.02:21:28_03-09-2015.jpg,http://pelars.netne.net/images/400025000c47343432313031.button2.screenshot.02:21:28_03-09-2015.jpg
02:21:25_03-09-2015,400025000c47343432313031,button1,http://pelars.netne.net/images/400025000c47343432313031.button1.overview.02:21:25_03-09-2015.jpg,http://pelars.netne.net/images/400025000c47343432313031.button1.screenshot.02:21:25_03-09-2015.jpg
02:21:25_03-09-2015,400025000c47343432313031,button1,http://pelars.netne.net/images/400025000c47343432313031.button1.overview.02:21:25_03-09-2015.jpg,http://pelars.netne.net/images/400025000c47343432313031.button1.screenshot.02:21:25_03-09-2015.jpg
02:21:28_03-09-2015,400025000c47343432313031,button2,http://pelars.netne.net/images/400025000c47343432313031.button2.overview.02:21:28_03-09-2015.jpg,http://pelars.netne.net/images/400025000c47343432313031.button2.screenshot.02:21:28_03-09-2015.jpg
02:21:27_03-09-2015,400025000c47343432313031,button2,http://pelars.netne.net/images/400025000c47343432313031.button2.overview.02:21:27_03-09-2015.jpg,http://pelars.netne.net/images/400025000c47343432313031.button2.screenshot.02:21:27_03-09-2015.jpg
02:21:29_03-09-2015,400025000c47343432313031,button1,http://pelars.netne.net/images/400025000c47343432313031.button1.overview.02:21:29_03-09-2015.jpg,http://pelars.netne.net/images/400025000c47343432313031.button1.screenshot.02:21:29_03-09-2015.jpg
02:21:27_03-09-2015,400025000c47343432313031,button2,http://pelars.netne.net/images/400025000c47343432313031.button2.overview.02:21:27_03-09-2015.jpg,http://pelars.netne.net/images/400025000c47343432313031.button2.screenshot.02:21:27_03-09-2015.jpg
02:21:29_03-09-2015,400025000c47343432313031,button1,http://pelars.netne.net/images/400025000c47343432313031.button1.overview.02:21:29_03-09-2015.jpg,http://pelars.netne.net/images/400025000c47343432313031.button1.screenshot.02:21:29_03-09-2015.jpg
02:21:30_03-09-2015,400025000c47343432313031,button1,http://pelars.netne.net/images/400025000c47343432313031.button1.overview.02:21:30_03-09-2015.jpg,http://pelars.netne.net/images/400025000c47343432313031.button1.screenshot.02:21:30_03-09-2015.jpg
02:21:31_03-09-2015,400025000c47343432313031,button2,http://pelars.netne.net/images/400025000c47343432313031.button2.overview.02:21:31_03-09-2015.jpg,http://pelars.netne.net/images/400025000c47343432313031.button2.screenshot.02:21:31_03-09-2015.jpg
02:21:30_03-09-2015,400025000c47343432313031,button2,http://pelars.netne.net/images/400025000c47343432313031.button2.overview.02:21:30_03-09-2015.jpg,http://pelars.netne.net/images/400025000c47343432313031.button2.screenshot.02:21:30_03-09-2015.jpg
02:21:31_03-09-2015,400025000c47343432313031,button2,http://pelars.netne.net/images/400025000c47343432313031.button2.overview.02:21:31_03-09-2015.jpg,http://pelars.netne.net/images/400025000c47343432313031.button2.screenshot.02:21:31_03-09-2015.jpg
02:21:30_03-09-2015,400025000c47343432313031,button2,http://pelars.netne.net/images/400025000c47343432313031.button2.overview.02:21:30_03-09-2015.jpg,http://pelars.netne.net/images/400025000c47343432313031.button2.screenshot.02:21:30_03-09-2015.jpg
02:21:30_03-09-2015,400025000c47343432313031,button1,http://pelars.netne.net/images/400025000c47343432313031.button1.overview.02:21:30_03-09-2015.jpg,http://pelars.netne.net/images/400025000c47343432313031.button1.screenshot.02:21:30_03-09-2015.jpg
02:21:31_03-09-2015,400025000c47343432313031,button1,http://pelars.netne.net/images/400025000c47343432313031.button1.overview.02:21:31_03-09-2015.jpg,http://pelars.netne.net/images/400025000c47343432313031.button1.screenshot.02:21:31_03-09-2015.jpg
02:21:31_03-09-2015,400025000c47343432313031,button1,http://pelars.netne.net/images/400025000c47343432313031.button1.overview.02:21:31_03-09-2015.jpg,http://pelars.netne.net/images/400025000c47343432313031.button1.screenshot.02:21:31_03-09-2015.jpg
02:21:29_03-09-2015,400025000c47343432313031,button2,http://pelars.netne.net/images/400025000c47343432313031.button2.overview.02:21:29_03-09-2015.jpg,http://pelars.netne.net/images/400025000c47343432313031.button2.screenshot.02:21:29_03-09-2015.jpg
02:21:29_03-09-2015,400025000c47343432313031,button2,http://pelars.netne.net/images/400025000c47343432313031.button2.overview.02:21:29_03-09-2015.jpg,http://pelars.netne.net/images/400025000c47343432313031.button2.screenshot.02:21:29_03-09-2015.jpg
02:21:29_03-09-2015,400025000c47343432313031,button1,http://pelars.netne.net/images/400025000c47343432313031.button1.overview.02:21:29_03-09-2015.jpg,http://pelars.netne.net/images/400025000c47343432313031.button1.screenshot.02:21:29_03-09-2015.jpg
02:21:29_03-09-2015,400025000c47343432313031,button1,http://pelars.netne.net/images/400025000c47343432313031.button1.overview.02:21:29_03-09-2015.jpg,http://pelars.netne.net/images/400025000c47343432313031.button1.screenshot.02:21:29_03-09-2015.jpg
02:21:41_03-09-2015,400025000c47343432313031,button1,http://pelars.netne.net/images/400025000c47343432313031.button1.overview.02:21:41_03-09-2015.jpg,http://pelars.netne.net/images/400025000c47343432313031.button1.screenshot.02:21:41_03-09-2015.jpg
02:21:41_03-09-2015,400025000c47343432313031,button1,http://pelars.netne.net/images/400025000c47343432313031.button1.overview.02:21:41_03-09-2015.jpg,http://pelars.netne.net/images/400025000c47343432313031.button1.screenshot.02:21:41_03-09-2015.jpg
02:21:41_03-09-2015,400025000c47343432313031,button1,http://pelars.netne.net/images/400025000c47343432313031.button1.overview.02:21:41_03-09-2015.jpg,http://pelars.netne.net/images/400025000c47343432313031.button1.screenshot.02:21:41_03-09-2015.jpg
02:21:41_03-09-2015,400025000c47343432313031,button1,http://pelars.netne.net/images/400025000c47343432313031.button1.overview.02:21:41_03-09-2015.jpg,http://pelars.netne.net/images/400025000c47343432313031.button1.screenshot.02:21:41_03-09-2015.jpg
02:32:04_03-09-2015,400025000c47343432313031,button1,http://pelars.netne.net/images/400025000c47343432313031.button1.overview.02:32:04_03-09-2015.jpg,http://pelars.netne.net/images/400025000c47343432313031.button1.screenshot.02:32:04_03-09-2015.jpg
02:32:04_03-09-2015,400025000c47343432313031,button1,http://pelars.netne.net/images/400025000c47343432313031.button1.overview.02:32:04_03-09-2015.jpg,http://pelars.netne.net/images/400025000c47343432313031.button1.screenshot.02:32:04_03-09-2015.jpg
02:32:04_03-09-2015,400025000c47343432313031,button1,http://pelars.netne.net/images/400025000c47343432313031.button1.overview.02:32:04_03-09-2015.jpg,http://pelars.netne.net/images/400025000c47343432313031.button1.screenshot.02:32:04_03-09-2015.jpg
02:32:06_03-09-2015,400025000c47343432313031,button1,http://pelars.netne.net/images/400025000c47343432313031.button1.overview.02:32:06_03-09-2015.jpg,http://pelars.netne.net/images/400025000c47343432313031.button1.screenshot.02:32:06_03-09-2015.jpg
02:32:06_03-09-2015,400025000c47343432313031,button1,http://pelars.netne.net/images/400025000c47343432313031.button1.overview.02:32:06_03-09-2015.jpg,http://pelars.netne.net/images/400025000c47343432313031.button1.screenshot.02:32:06_03-09-2015.jpg
02:32:06_03-09-2015,400025000c47343432313031,button1,http://pelars.netne.net/images/400025000c47343432313031.button1.overview.02:32:06_03-09-2015.jpg,http://pelars.netne.net/images/400025000c47343432313031.button1.screenshot.02:32:06_03-09-2015.jpg
