timestamp,mod,sF,id,fromType
1441265074973,B,1,16,Swap
1441265294541,B,2,16,Swap
1441266206734,B,1,16,Swap
1441622969131,B,1,16,Swap
1441367319418,B,1,17,Interval
1441467485193,B,1,17,Map
1441467944312,B,2,17,Map
1441355512332,B,1,17,Note
1441446438587,B,1,17,Note
1441354358301,B,1,17,Swap
1441359816580,B,1,17,Swap
1441359829198,B,2,17,Swap
1441369860787,B,1,17,Swap
1441369915145,B,2,17,Swap
1441532765246,B,1,17,Swap
1441554483068,B,1,17,Swap
1441265080148,B,1,17,Trigger
1441265092270,B,2,17,Trigger
1441292604060,B,1,17,Trigger
1441292612709,B,2,17,Trigger
1441382786206,B,1,17,Trigger
1441382886145,B,2,17,Trigger
1441379107376,B,1,18,Fade
1441379115494,B,2,18,Fade
1441461422234,B,1,18,Map
1441461584367,B,2,18,Map
1441549802796,B,1,18,Map
1441618277887,B,1,18,Map
1441625555663,B,1,18,Map
1441360768515,B,1,18,Note
1441364205481,B,1,18,Note
1441446441046,B,1,18,Note
1441538298215,B,1,18,Note
1441367323258,B,1,18,Swap
1441621171082,B,1,18,Swap
1441281700588,B,1,19,Fade
1441281911978,B,2,19,Fade
1441279440126,B,1,19,Interval
1441363063429,B,1,19,Map
1441379137847,B,1,19,Map
1441469768824,B,1,19,Map
1441547952556,B,1,19,Map
1441625562374,B,1,19,Map
1441273189573,B,1,19,Note
1441364211313,B,1,19,Note
1441446443806,B,1,19,Note
1441444133888,B,1,19,Swap
1441443660305,B,1,19,Trigger
1441443701217,B,2,19,Trigger
1441542019878,B,1,19,Trigger
1441542027937,B,2,19,Trigger
1441446983402,B,1,1,Counter
1441361278168,B,1,1,IF
1441361456257,B,2,1,IF
1441467076181,B,1,1,IF
1441467086378,B,2,1,IF
1441536041571,B,1,1,IF
1441536054192,B,2,1,IF
1441533001526,B,1,1,Map
1441294259725,B,1,1,SimonSays
1441444764850,B,1,1,SimonSays
1441452926462,B,1,1,SimonSays
1441456801875,B,1,1,SimonSays
1441456825111,B,1,1,SimonSays
1441277949235,B,1,1,Swap
1441277970961,B,2,1,Swap
1441617133443,B,1,1,Swap
1441617159076,B,2,1,Swap
1441449584781,B,1,20,Fade
1441280113215,B,1,20,Interval
1441292622482,B,1,20,Interval
1441369921952,B,1,20,Interval
1441372043665,B,2,20,Interval
1441290793643,B,1,20,Note
1441364213915,B,1,20,Note
1441446445898,B,1,20,Note
1441375394830,B,1,20,Swap
1441375498135,B,2,20,Swap
1441538500695,B,1,21,IF
1441360842125,B,1,21,Note
1441364216247,B,1,21,Note
1441462400908,B,1,21,SimonSays
1441292633445,B,1,21,Swap
1441361621610,B,1,21,Swap
1441542036895,B,1,21,Swap
1441542053862,B,2,21,Swap
1441382924186,B,1,21,Trigger
1441384238783,B,2,21,Trigger
1441539247114,B,1,21,Trigger
1441539322478,B,2,21,Trigger
1441549993202,B,1,22,Fade
1441281783389,B,1,22,Map
1441281846390,B,2,22,Map
1441364219037,B,1,22,Note
1441443706427,B,1,22,Note
1441279493221,B,1,22,Swap
1441367356069,B,1,22,Swap
1441466102185,B,1,22,Swap
1441469852541,B,1,22,Swap
1441534459890,B,1,22,Swap
1441272909196,B,1,22,Trigger
1441366673764,B,1,22,Trigger
1441379171995,B,1,22,Trigger
1441374847050,B,1,23,IF
1441542055353,B,1,23,IF
1441542080315,B,2,23,IF
1441290872216,B,1,23,Interval
1441290915350,B,2,23,Interval
1441626371335,B,1,23,Interval
1441627523210,B,2,23,Interval
1441441764113,B,1,23,Map
1441532840947,B,1,23,Map
1441618359872,B,1,23,Map
1441621377958,B,1,23,Map
1441364221304,B,1,23,Note
1441280160095,B,1,23,Swap
1441534461457,B,1,23,Swap
1441536807618,B,1,23,Swap
1441272911532,B,1,23,Trigger
1441625808711,B,1,24,Interval
1441626373009,B,1,24,Interval
1441627649233,B,2,24,Interval
1441461549943,B,1,24,Map
1441539333416,B,1,24,Map
1441541262830,B,2,24,Map
1441364224157,B,1,24,Note
1441442604923,B,1,24,SimonSays
1441442608465,B,2,24,SimonSays
1441370066437,B,1,24,Swap
1441534463191,B,1,24,Swap
1441272913232,B,1,24,Trigger
1441382947644,B,1,24,Trigger
1441361652009,B,1,25,IF
1441628447189,B,1,25,IF
1441468403909,B,1,25,Map
1441461553486,B,1,25,Random
1441443742100,B,1,25,Swap
1441443752262,B,2,25,Swap
1441374870832,B,1,26,IF
1441618430565,B,1,26,IF
1441290917136,B,1,26,Interval
1441290928715,B,2,26,Interval
1441542127572,B,1,26,Interval
1441363227378,B,1,26,Map
1441625816049,B,1,26,Swap
1441628461508,B,1,26,Trigger
1441628484588,B,2,26,Trigger
1441374872080,B,1,27,IF
1441382981387,B,1,27,IF
1441550159687,B,1,27,IF
1441536885656,B,1,27,Map
1441539455749,B,1,27,Map
1441541213594,B,2,27,Map
1441375573122,B,1,27,Trigger
1441375592847,B,2,27,Trigger
1441447675643,B,1,27,Trigger
1441447684492,B,2,27,Trigger
1441468485488,B,1,28,Interval
1441447726424,B,1,28,Trigger
1441447743604,B,2,28,Trigger
1441280266192,B,1,29,Map
1441442046874,B,1,29,Map
1441628526110,B,1,29,Swap
1441628542239,B,2,29,Swap
1441446986132,B,1,2,Fade
1441457769741,B,1,2,IF
1441467083590,B,1,2,Interval
1441467101603,B,2,2,Interval
1441275662622,B,1,2,Map
1441274767134,B,1,2,SimonSays
1441361340376,B,1,2,Trigger
1441361458942,B,2,2,Trigger
1441281916700,B,1,30,Fade
1441282021209,B,2,30,Fade
1441375600263,B,1,30,IF
1441290942786,B,1,30,Interval
1441290997710,B,2,30,Interval
1441445515641,B,1,30,Note
1441370167334,B,1,30,Swap
1441628568448,B,1,31,Map
1441447750800,B,1,31,Swap
1441447786642,B,2,31,Swap
1441468496824,B,1,31,Swap
1441370197086,B,1,33,IF
1441445529634,B,1,33,Note
1441290962636,B,1,33,Trigger
1441291033419,B,2,33,Trigger
1441375710714,B,1,33,Trigger
1441467838174,B,1,34,IF
1441442213099,B,1,34,Map
1441447811075,B,1,34,Map
1441543556432,B,1,34,Map
1441543685281,B,2,34,Map
1441445537005,B,1,34,Note
1441446030908,B,2,34,Note
1441468505627,B,1,34,Note
1441442215112,B,1,35,Map
1441542536033,B,1,35,Map
1441280455830,B,1,36,Map
1441442216886,B,1,36,Map
1441370262552,B,1,36,Trigger
1441370273674,B,2,36,Trigger
1441375761606,B,1,36,Trigger
1441543645887,B,1,37,Map
1441543683554,B,2,37,Map
1441282017071,B,1,37,Random
1441282036767,B,2,37,Random
1441626568207,B,1,37,SimonSays
1441626706040,B,2,37,SimonSays
1441370287052,B,1,38,IF
1441370311429,B,2,38,IF
1441468536103,B,1,38,Map
1441355732525,B,1,38,Note
1441383283926,B,1,38,Trigger
1441280569926,B,1,39,Note
1441355734735,B,1,39,Note
1441356097779,B,2,39,Note
1441269675219,B,1,3,Counter
1441449416482,B,1,3,Counter
1441449576658,B,2,3,Counter
1441268897662,B,1,3,IF
1441294973594,B,1,3,IF
1441368362943,B,1,3,IF
1441368999169,B,1,3,IF
1441376559697,B,1,3,IF
1441446988095,B,1,3,IF
1441470321370,B,1,3,IF
1441537518633,B,1,3,IF
1441617663297,B,1,3,IF
1441617757542,B,1,3,IF
1441619413070,B,1,3,IF
1441619493093,B,2,3,IF
1441264560132,B,1,3,Interval
1441264579873,B,2,3,Interval
1441278674044,B,1,3,Interval
1441292503337,B,1,3,Interval
1441292590574,B,2,3,Interval
1441361402128,B,1,3,Interval
1441274643825,B,1,3,Map
1441274706305,B,2,3,Map
1441295595846,B,1,3,Map
1441542629080,B,1,3,Map
1441544438665,B,2,3,Map
1441622221417,B,1,3,Map
1441273275810,B,1,3,Note
1441273479039,B,2,3,Note
1441282141420,B,1,3,Random
1441282168462,B,2,3,Random
1441278450691,B,1,3,Swap
1441621738762,B,1,3,Swap
1441550397876,B,1,40,IF
1441550406970,B,2,40,IF
1441543685951,B,1,40,Note
1441543768544,B,2,40,Note
1441370329117,B,1,40,Trigger
1441370343869,B,2,40,Trigger
1441383316854,B,1,40,Trigger
1441370355815,B,1,42,IF
1441370369592,B,2,42,IF
1441626746784,B,1,43,Note
1441627376720,B,2,43,Note
1441282064589,B,1,43,Random
